0.106,0.029,1.005
0.105,0.032,1.004
0.105,0.038,1.006
0.105,0.030,1.000
0.110,0.030,1.003
0.109,0.031,1.003
0.107,0.030,1.002
0.107,0.031,1.009
0.113,0.029,0.997
0.109,0.035,0.997
0.106,0.030,1.000
0.108,0.031,1.006
0.105,0.027,1.005
0.103,0.033,1.011
0.107,0.033,1.012
0.111,0.027,0.997
0.104,0.030,0.998
0.107,0.028,1.009
0.105,0.032,1.005
0.105,0.033,1.004
0.108,0.038,1.006
0.106,0.028,1.005
0.112,0.027,1.010
0.108,0.029,1.002
0.105,0.028,1.005
0.104,0.033,1.008
0.108,0.034,0.998
0.104,0.030,1.010
0.106,0.029,1.004
0.103,0.032,0.994
0.102,0.029,1.008
0.106,0.029,0.998
0.112,0.031,0.994
0.107,0.030,1.007
0.104,0.029,0.999
0.106,0.031,1.003
0.107,0.031,1.001
0.106,0.030,0.998
0.107,0.034,1.006
0.105,0.027,1.009
0.104,0.031,1.006
0.107,0.027,0.998
0.111,0.032,1.008
0.103,0.030,1.000
0.106,0.034,1.002
0.106,0.031,1.003
0.106,0.028,1.000
0.107,0.029,1.004
0.104,0.029,1.002
0.109,0.034,1.007
0.104,0.032,1.006
0.107,0.028,1.001
0.110,0.031,1.007
0.107,0.034,1.007
0.108,0.030,1.008
0.106,0.030,0.998
0.103,0.031,1.006
0.106,0.031,0.997
0.102,0.030,1.009
0.104,0.032,0.994
0.107,0.030,1.006
0.107,0.026,1.007
0.109,0.029,1.002
0.105,0.032,1.006
0.107,0.033,0.999
0.108,0.029,1.007
0.107,0.033,1.004
0.104,0.028,1.012
0.106,0.030,0.990
0.108,0.032,1.011
0.107,0.036,1.004
0.107,0.024,1.001
0.105,0.032,1.008
0.110,0.032,0.998
0.109,0.040,0.999
0.104,0.032,1.001
0.106,0.029,1.009
0.106,0.027,1.003
0.114,0.035,1.004
0.103,0.030,1.002
0.102,0.029,1.005
0.104,0.032,1.003
0.105,0.025,1.005
0.111,0.029,0.996
0.108,0.032,1.001
0.111,0.036,1.004
0.104,0.029,1.003
0.111,0.027,1.007
0.108,0.029,1.001
0.104,0.027,1.004
0.104,0.028,1.004
0.103,0.034,1.004
0.093,0.034,1.005
0.106,0.037,1.006
0.104,0.029,1.007
0.115,0.028,1.000
0.115,0.029,1.004
0.115,0.026,1.005
0.111,0.030,0.997
0.063,0.144,1.002
0.128,0.043,0.991
0.076,0.025,1.014
0.084,0.038,1.036
0.089,0.044,1.012
0.106,0.038,0.987
0.108,0.052,0.988
0.113,0.055,0.990
0.110,0.036,1.002
0.104,0.031,1.023
0.111,0.020,1.010
0.103,0.026,1.002
0.102,0.021,0.994
0.118,0.014,0.998
0.096,0.025,1.005
0.090,0.047,1.005
0.098,0.044,0.995
0.098,0.036,1.006
0.109,0.031,0.996
0.126,0.028,0.999
0.117,0.020,0.999
0.104,0.025,1.006
0.107,0.030,0.992
0.099,0.031,1.002
0.106,0.032,1.008
0.101,0.034,1.009
0.101,0.032,0.997
0.098,0.034,1.006
0.108,0.030,1.008
0.116,0.023,0.995
0.118,0.019,1.004
0.115,0.023,1.001
0.109,0.030,1.003
0.102,0.043,1.003
0.096,0.044,1.002
0.098,0.041,1.003
0.100,0.039,1.005
0.108,0.023,1.001
0.109,0.018,1.009
0.111,0.022,1.013
0.113,0.028,1.006
0.108,0.043,1.007
0.104,0.038,1.000
0.106,0.033,0.999
0.109,0.030,1.004
0.107,0.030,1.007
0.107,0.025,1.003
0.104,0.023,1.010
0.104,0.030,0.999
0.101,0.035,1.009
0.106,0.033,1.002
0.103,0.033,0.994
0.110,0.031,0.999
0.107,0.026,1.012
0.111,0.029,1.001
0.111,0.031,1.005
0.108,0.027,1.005
0.104,0.033,1.009
0.110,0.037,0.999
0.102,0.032,1.009
0.103,0.033,1.009
0.104,0.032,1.013
0.104,0.031,0.995
0.107,0.030,0.999
0.105,0.026,1.008
0.106,0.036,0.998
0.103,0.040,0.994
0.105,0.034,1.002
0.105,0.031,1.005
0.104,0.027,1.008
0.104,0.032,1.002
0.108,0.027,1.005
0.102,0.036,1.004
0.100,0.031,0.993
0.105,0.032,0.996
0.107,0.027,1.001
0.110,0.033,1.003
0.104,0.020,0.991
0.089,0.003,0.994
0.106,0.034,1.059
0.103,0.017,0.984
0.103,0.041,0.982
0.113,0.039,0.990
0.111,0.036,1.007
0.108,0.037,1.007
0.108,0.030,1.019
0.107,0.028,1.009
0.104,0.029,1.011
0.104,0.030,0.996
0.107,0.037,0.998
0.106,0.032,0.995
0.106,0.032,1.002
0.110,0.030,0.994
0.106,0.026,1.010
0.103,0.025,1.001
0.106,0.031,1.005
0.105,0.035,1.000
0.104,0.033,1.009
0.109,0.035,1.003
0.102,0.033,1.006
0.108,0.030,1.005
0.104,0.031,0.995
0.106,0.031,0.997
0.108,0.041,1.005
0.104,0.035,1.011
0.101,0.031,1.006
0.110,0.030,1.004
0.108,0.030,0.999
0.106,0.033,1.009
0.110,0.029,1.000
0.106,0.030,0.997
0.104,0.032,1.004
0.104,0.033,1.001
0.107,0.036,0.996
0.104,0.032,1.005
0.106,0.033,1.004
0.109,0.027,1.008
0.105,0.030,1.001
0.106,0.036,1.003
0.109,0.035,1.007
0.112,0.037,1.006
0.110,0.030,0.994
0.110,0.033,1.007
0.105,0.033,1.002
0.112,0.027,0.995
0.102,0.034,1.013
0.099,0.030,1.002
0.105,0.035,1.007
0.102,0.038,1.009
0.104,0.032,0.991
0.109,0.030,1.007
0.111,0.033,0.994
0.104,0.028,0.996
0.105,0.035,1.012
0.110,0.031,0.993
0.104,0.033,0.996
0.104,0.029,1.010
0.104,0.029,1.006
0.106,0.031,1.007
0.107,0.029,1.001
0.111,0.030,0.999
0.108,0.028,1.000
0.105,0.028,1.005
0.104,0.037,1.000
0.103,0.024,0.999
0.104,0.028,1.001
0.110,0.030,1.002
0.107,0.033,0.999
0.104,0.030,1.004
0.110,0.029,1.002
0.104,0.032,0.998
0.110,0.030,1.006
0.104,0.026,1.007
0.108,0.036,1.002
0.105,0.036,1.005
0.104,0.028,1.006
0.108,0.033,1.010
0.114,0.027,0.995
0.107,0.024,1.005
0.108,0.031,0.994
0.100,0.034,1.003
0.104,0.033,0.999
0.111,0.027,1.001
0.107,0.032,1.005
0.106,0.033,1.000
0.093,0.002,1.015
0.108,0.055,1.003
0.114,0.030,1.001
0.099,0.039,0.991
0.100,0.041,1.005
0.114,0.017,1.006
0.100,0.025,1.005
0.111,0.025,0.998
0.112,0.024,1.004
0.102,0.030,1.006
0.100,0.036,1.000
0.104,0.036,1.004
0.107,0.030,1.006
0.104,0.030,1.000
0.111,0.031,0.999
0.104,0.030,0.999
0.107,0.024,1.002
0.104,0.045,1.006
0.105,0.029,0.995
0.107,0.038,1.005
0.108,0.022,1.004
0.107,0.037,1.000
0.104,0.032,1.007
0.111,0.027,1.003
0.106,0.038,1.006
0.104,0.025,0.995
0.104,0.029,1.005
0.102,0.031,1.008
0.098,0.027,1.007
0.105,0.029,1.000
