15,94073,2040.6,71.38,-1,-1,1087
14,97562,1043.4,71.40,-1,-1,2099
14,97561,1045.3,71.42,-1,-1,3104
14,97558,1044.6,71.42,400,0,4112
14,97558,1044.6,71.42,400,0,5118
14,97564,1043.0,71.44,400,0,6125
14,97563,1043.3,71.46,400,0,7132
15,97566,1042.3,71.42,400,0,8138
14,97589,1036.0,71.11,400,0,9146
14,97563,1043.1,71.10,400,0,10152
15,97569,1041.5,71.04,400,0,11159
15,97589,1035.9,70.81,400,0,12166
15,97583,1036.7,70.61,400,0,13173
15,97582,1037.9,70.48,400,0,14180
15,97567,1042.1,70.38,400,0,15186
15,97572,1040.8,70.23,400,0,16194
15,97578,1039.1,70.03,400,0,17201
16,97571,1041.0,69.91,400,0,18207
16,97560,1044.0,69.84,400,0,19214
16,97574,1040.2,69.69,400,0,20221
16,97585,1037.2,69.51,400,0,21228
15,97613,1029.1,69.03,400,0,22235
13,97712,1001.3,67.33,400,0,23241
13,97655,1017.2,66.34,400,0,24249
12,97596,1033.9,66.15,400,0,25255
12,97636,1022.5,65.48,400,0,26262
12,97653,1017.8,64.65,400,0,27270
11,97661,1015.7,63.81,400,0,28276
11,97620,1027.1,63.27,400,0,29283
11,97646,1019.7,62.55,400,0,30289
11,97642,1021.1,61.84,400,0,31297
11,97647,1019.7,61.14,400,0,32304
12,97653,1018.0,60.37,405,0,33310
12,97660,1015.9,59.45,400,0,34317
12,97639,1019.4,58.77,400,0,35324
12,97628,1025.0,58.32,400,0,36331
12,97672,1012.6,57.43,400,0,37338
12,97663,1014.9,56.64,400,0,38345
13,97663,1015.2,55.90,400,0,39352
13,97635,1023.0,55.44,400,0,40358
13,97642,1021.1,54.86,400,0,41365
13,97640,1021.4,54.30,400,0,42373
13,97628,1024.9,53.83,400,0,43379
13,97632,1023.8,53.35,400,0,44386
14,97641,1021.3,52.84,400,0,45392
14,97635,1023.7,52.32,400,0,46400
14,97632,1023.9,51.84,400,0,47407
14,97620,1027.1,51.51,400,0,48413
14,97650,1018.7,50.85,400,0,49420
14,97655,1017.4,50.13,400,0,50427
15,97624,1026.2,49.80,400,0,51434
15,97632,1023.9,49.41,400,0,52441
15,97634,1022.5,48.99,406,0,53448
15,97635,1023.0,48.52,402,0,54455
16,97635,1023.0,48.11,400,0,55461
16,97646,1019.8,47.48,400,0,56468
16,97633,1023.5,47.01,400,0,57476
17,97631,1023.9,46.53,400,0,58482
17,97633,1023.6,46.08,400,0,59489
17,97612,1028.8,45.79,400,0,60495
17,97615,1028.6,45.45,400,0,61503
17,97624,1026.1,45.05,400,0,62510
18,97627,1025.3,44.60,400,0,63516
18,97614,1028.8,44.20,400,0,64524
18,97605,1031.3,43.93,402,0,65530
18,97608,1030.5,43.65,402,0,66537
19,97582,1038.0,43.63,402,0,67544
21,97553,1046.0,43.92,428,4,68551
23,97556,1045.1,44.17,451,7,69558
24,97554,1045.9,44.46,461,9,70564
24,97553,1046.0,44.65,461,9,71571
25,97555,1045.4,44.92,477,11,72579
26,97564,1044.5,45.21,482,12,73585
26,97535,1051.1,45.68,495,14,74592
27,97546,1048.1,46.08,495,14,75599
27,97550,1047.0,46.40,514,17,76606
27,97548,1049.7,46.87,526,19,77613
27,97537,1050.5,47.41,531,19,78620
27,97534,1051.4,47.88,556,23,79627
27,97549,1047.1,48.25,569,25,80633
27,97545,1048.3,48.70,569,25,81641
27,97539,1050.1,49.12,581,27,82648
26,97527,1051.8,49.71,602,30,83654
25,97540,1049.8,50.18,643,37,84662
25,97537,1050.7,50.65,643,37,85668
25,97530,1052.5,51.17,646,37,86675
25,97538,1050.2,51.66,653,38,87682
24,97536,1050.8,52.09,666,40,88689
24,97535,1051.1,52.57,671,41,89696
24,97548,1047.4,52.90,666,40,90702
23,97542,1049.0,53.20,666,40,91710
23,97532,1051.8,53.71,671,41,92717
22,97542,1047.7,54.12,666,40,93723
22,97533,1051.7,54.57,678,42,94731
21,97539,1050.1,55.08,735,51,95737
21,97537,1050.6,55.53,761,54,96744
20,97542,1049.1,55.90,787,58,97752
20,97544,1047.8,56.34,806,61,98758
20,97548,1047.4,56.77,815,63,99765
19,97545,1048.2,57.13,825,64,100772
19,97543,1048.9,57.51,825,64,101779
19,97547,1047.6,57.87,787,58,102786
18,97543,1048.8,58.28,825,64,103793
18,97542,1049.1,58.66,844,67,104800
18,97547,1047.8,59.05,844,67,105806
17,97547,1050.1,59.38,825,64,106814
17,97546,1047.9,59.70,806,61,107821
17,97550,1047.0,59.99,815,63,108827
17,97554,1045.7,60.24,798,60,109835
17,97534,1051.5,60.58,806,61,110841
16,97550,1046.8,60.87,815,63,111849
16,97549,1047.3,61.11,806,61,112856
16,97552,1046.4,61.39,798,60,113862
16,97549,1047.2,61.68,787,58,114870
16,97549,1047.2,62.01,778,57,115876
15,97552,1046.3,62.29,778,57,116883
15,97547,1047.6,62.53,787,58,117891
15,97548,1047.5,62.80,787,58,118897
15,97539,1050.1,63.05,787,58,119904
15,97544,1048.4,63.37,787,58,120911
15,97547,1047.8,63.64,798,60,121918
14,97560,1044.2,63.81,806,61,122925
14,97552,1046.2,64.08,787,58,123932
14,97554,1045.7,64.27,787,58,124939
14,97554,1045.8,64.53,770,56,125945
14,97557,1044.9,64.74,787,58,126953
14,97548,1047.3,64.96,770,56,127960
13,97551,1046.6,65.17,770,56,128967
13,97560,1044.0,65.34,735,51,129974
