-0.036,-0.393,-0.902
-0.033,-0.396,-0.908
-0.035,-0.391,-0.906
-0.036,-0.390,-0.912
-0.031,-0.396,-0.914
-0.032,-0.392,-0.915
-0.035,-0.396,-0.912
-0.033,-0.396,-0.905
-0.031,-0.393,-0.909
-0.034,-0.394,-0.905
-0.035,-0.391,-0.907
-0.034,-0.395,-0.910
-0.033,-0.396,-0.908
-0.031,-0.394,-0.904
-0.033,-0.395,-0.912
-0.034,-0.392,-0.909
-0.033,-0.389,-0.908
-0.040,-0.395,-0.916
-0.034,-0.388,-0.911
-0.036,-0.393,-0.906
-0.039,-0.393,-0.914
-0.035,-0.392,-0.905
-0.035,-0.389,-0.910
-0.033,-0.394,-0.907
-0.028,-0.392,-0.912
-0.031,-0.393,-0.908
-0.023,-0.386,-0.910
-0.035,-0.445,-0.929
-0.039,-0.364,-0.898
-0.030,-0.368,-0.904
-0.023,-0.379,-0.919
-0.022,-0.394,-0.926
-0.041,-0.401,-0.894
-0.035,-0.384,-0.903
-0.033,-0.390,-0.919
-0.026,-0.395,-0.910
-0.047,-0.414,-0.892
-0.034,-0.381,-0.918
-0.024,-0.394,-0.917
-0.021,-0.395,-0.894
-0.042,-0.402,-0.897
-0.034,-0.387,-0.933
-0.037,-0.392,-0.907
-0.021,-0.385,-0.899
-0.030,-0.394,-0.905
-0.022,-0.388,-0.916
-0.046,-0.398,-0.908
-0.038,-0.388,-0.904
-0.039,-0.390,-0.919
-0.015,-0.382,-0.924
-0.021,-0.392,-0.887
-0.051,-0.403,-0.911
-0.055,-0.399,-0.911
-0.015,-0.394,-0.908
-0.014,-0.392,-0.901
-0.034,-0.394,-0.912
-0.040,-0.395,-0.912
-0.038,-0.398,-0.899
-0.022,-0.385,-0.913
-0.023,-0.390,-0.921
-0.037,-0.409,-0.905
-0.048,-0.399,-0.896
-0.034,-0.379,-0.921
-0.011,-0.385,-0.920
-0.027,-0.397,-0.892
-0.050,-0.397,-0.907
-0.041,-0.386,-0.935
-0.021,-0.393,-0.904
-0.028,-0.393,-0.888
-0.040,-0.391,-0.914
-0.048,-0.397,-0.921
-0.032,-0.395,-0.889
-0.029,-0.393,-0.900
-0.033,-0.383,-0.932
-0.036,-0.399,-0.905
-0.042,-0.392,-0.891
-0.024,-0.388,-0.932
-0.030,-0.392,-0.917
-0.037,-0.389,-0.906
-0.033,-0.400,-0.906
-0.031,-0.387,-0.906
-0.026,-0.396,-0.907
-0.032,-0.384,-0.893
-0.023,-0.389,-0.914
-0.025,-0.385,-0.906
-0.033,-0.385,-0.915
-0.037,-0.385,-0.917
-0.029,-0.384,-0.914
-0.017,-0.391,-0.915
-0.031,-0.392,-0.915
-0.040,-0.382,-0.914
-0.029,-0.383,-0.910
-0.017,-0.387,-0.916
-0.030,-0.382,-0.899
-0.040,-0.384,-0.918
-0.034,-0.393,-0.914
-0.026,-0.385,-0.895
-0.021,-0.382,-0.920
-0.037,-0.383,-0.919
-0.034,-0.389,-0.913
-0.030,-0.387,-0.906
-0.018,-0.381,-0.923
-0.028,-0.390,-0.909
-0.034,-0.386,-0.903
-0.026,-0.384,-0.912
-0.021,-0.381,-0.907
-0.027,-0.383,-0.910
-0.032,-0.380,-0.911
-0.031,-0.383,-0.915
-0.029,-0.389,-0.902
-0.026,-0.390,-0.904
-0.027,-0.382,-0.914
-0.028,-0.381,-0.919
-0.028,-0.394,-0.907
-0.049,-0.389,-0.909
0.003,-0.387,-0.926
-0.023,-0.370,-0.896
-0.042,-0.397,-0.938
-0.059,-0.389,-0.894
-0.005,-0.389,-0.912
0.008,-0.365,-0.902
-0.032,-0.381,-0.933
-0.055,-0.394,-0.931
-0.043,-0.396,-0.884
-0.001,-0.377,-0.912
-0.022,-0.366,-0.921
-0.033,-0.391,-0.930
-0.043,-0.390,-0.898
-0.024,-0.398,-0.900
-0.012,-0.373,-0.917
-0.022,-0.376,-0.921
-0.020,-0.377,-0.912
-0.036,-0.398,-0.896
-0.041,-0.393,-0.915
-0.035,-0.368,-0.885
-0.132,-0.256,-1.134
0.026,-0.359,-0.748
0.235,-0.836,-1.133
-0.244,-0.429,-0.942
-0.404,-0.215,-0.898
-0.139,-0.385,-0.813
0.154,-0.524,-1.006
0.134,-0.347,-0.994
-0.084,-0.436,-1.054
-0.363,-0.619,-0.853
-0.539,-0.702,-0.901
